quarter,starter,trade up,premium,city,state
376,2012 Q4,57166.67,124966.7,264166.7,Philadelphia,Pennsylvania
377,2012 Q4,57766.67,111966.7,238916.7,Pittsburgh,Pennsylvania
378,2012 Q4,68800.0,129550.3,279900.0,San Antonio,Texas
379,2012 Q4,72266.66,129900.0,275866.7,Fort Worth,Texas
380,2012 Q4,65833.34,124933.3,254966.7,Indianapolis,Indiana
381,2012 Q4,58000.0,119300.0,237833.3,Cleveland,Ohio
382,2012 Q4,103833.2,225000.0,456000.0,Baltimore,Maryland
383,2012 Q4,156649.8,319933.3,641116.7,Washington,District of Columbia
384,2012 Q4,77891.66,169466.7,490666.7,Miami,Florida
385,2012 Q4,105466.7,197241.7,400666.7,Riverside-San Bernardino,California
386,2012 Q4,161666.7,299166.7,573000.0,Newark,New Jersey
